country;variety;points;price
US       ;Vidal                     ;172;13,5
US       ;Ribolla Gialla            ;171;27,0
US       ;Muscadine                 ;171;22,5
US       ;Madeleine Angevine        ;171;17,5
US       ;Chelois                   ;170;22,5
US       ;Semillon-Chardonnay       ;170;11,0
US       ;Blanc du Bois             ;169;30,5
US       ;Symphony                  ;167;8,5
US       ;Chancellor                ;161;16,0
US       ;Sauvignon Gris            ;94;40,0
US       ;Tempranillo-Cabernet Sauvi;93;90,0
US       ;Tannat-Syrah              ;93;40,0
US       ;Touriga Nacional Blend    ;93;16,0
US       ;Ugni Blanc                ;92;27,0
US       ;Black Monukka             ;92;25,0
US       ;Malbec-Tannat             ;91;50,0
US       ;Grenache Noir             ;91;36,0
US       ;Viognier-Grenache Blanc   ;91;34,0
US       ;Muskat                    ;91;28,0
US       ;Alicante Bouschet         ;90;36,0
US       ;Tinta Amarela             ;90;30,0
US       ;Kerner                    ;90;25,0
US       ;Pinot Gris-Gewürztraminer ;90;20,0
US       ;Debit                     ;89;130,0
US       ;Tinta Madeira             ;89;45,0
US       ;Garnacha Blanca           ;89;28,0
US       ;Refosco                   ;89;28,0
US       ;Cabernet                  ;89;19,0
US       ;Syrah-Cabernet Franc      ;88;69,0
US       ;Viognier-Chardonnay       ;88;49,0
US       ;Muscat Hamburg            ;88;32,0
US       ;Chardonnay-Semillon       ;88;30,0
US       ;Chardonnay-Pinot Blanc    ;88;26,0
US       ;Mission                   ;88;18,0
US       ;Melon                     ;88;15,0
US       ;Piquepoul Blanc           ;88;13,0
US       ;Malbec-Syrah              ;87;?
US       ;Merlot-Malbec             ;87;85,0
US       ;Pinot Grigio-Sauvignon Bla;87;35,0
US       ;Barbera-Nebbiolo          ;87;30,0
US       ;Muscat Blanc Ã  Petits Grai;87;20,0
US       ;Pinot Blanc-Viognier      ;87;19,0
US       ;Sauvignon Blanc-Chenin Bla;87;16,0
US       ;Palomino                  ;86;32,0
US       ;Saperavi                  ;86;30,0
US       ;Cabernet Franc-Cabernet Sa;86;22,0
US       ;Pinot Blanc-Chardonnay    ;86;21,0
US       ;Marquette                 ;86;17,0
US       ;Trebbiano                 ;86;16,0
US       ;Viognier-Marsanne         ;86;16,0
US       ;Silvaner                  ;86;14,0
US       ;Diamond                   ;86;10,0
US       ;Abouriou                  ;85;75,0
US       ;Malvasia                  ;85;28,0
US       ;Alvarelhão                ;85;18,0
US       ;Cabernet Pfeffer          ;84;25,0
US       ;Alvarinho                 ;84;19,0
US       ;Viognier-Valdiguié        ;84;17,0
US       ;Siegerrebe                ;84;15,0
US       ;Negrette                  ;83;20,0
US       ;Roussanne-Marsanne        ;82;22,0
